i,English,je,French,ich,German,io,Italian,ego,Latin,ja,Russian,yo,Spanish,ik,Dutch,jag,Swedish,ahám,Sanskrit
you,English,tu,French,du,German,voi,Italian,vos,Latin,vy,Russian,usted,Spanish,jij,Dutch,du,Swedish,tvám,Sanskrit
thou,English,vous ,French,sie,German,tu,Italian,tu,Latin,ty,Russian,tú,Spanish,u,Dutch,du,Swedish,tvám,Sanskrit
he,English,il,French,er,German,egli,Italian,ipse,Latin,on,Russian,él,Spanish,hij,Dutch,han,Swedish,sá,Sanskrit
we,English,nous,French,wir,German,noi,Italian,nos,Latin,my,Russian,nosotros,Spanish,wij,Dutch,vi,Swedish,vayám,Sanskrit
you,English,vous,French,ihr,German,voi,Italian,vos,Latin,vy,Russian,usted,Spanish,jullie,Dutch,ni,Swedish,yūyám,Sanskrit
they,English,ils,French,sie,German,essi,Italian,ipsi,Latin,oni,Russian,ellos,Spanish,zij,Dutch,de,Swedish,té,Sanskrit
this,English,ceci,French,dieses,German,questo,Italian,hoc,Latin,e'tot,Russian,esta,Spanish,deze,Dutch,det här,Swedish,idám,Sanskrit
that,English,cela,French,jenes,German,che,Italian,quod,Latin,tot,Russian,que,Spanish,die,Dutch,det där,Swedish,tát,Sanskrit
here,English,ici,French,hier,German,qui,Italian,hic,Latin,zdes',Russian,aquí,Spanish,hier,Dutch,här,Swedish,átra,Sanskrit
there,English,là,French,dort,German,ci,Italian,ibi,Latin,tam,Russian,hay,Spanish,daar,Dutch,där,Swedish,tátra,Sanskrit
who,English,qui,French,wer,German,che,Italian,qui,Latin,kto,Russian,que,Spanish,wie,Dutch,vem,Swedish,ká,Sanskrit
what,English,quoi,French,was,German,cosa,Italian,quid,Latin,chto,Russian,¿qué,Spanish,wat,Dutch,vad,Swedish,kím,Sanskrit
where,English,où,French,wo,German,dove,Italian,ubi,Latin,gde,Russian,donde,Spanish,waar,Dutch,var,Swedish,kútra,Sanskrit
when,English,quand,French,wann,German,quando,Italian,quando,Latin,kogda,Russian,cuando,Spanish,wanneer,Dutch,när,Swedish,kadā́,Sanskrit
how,English,comment,French,wie,German,come,Italian,quomodo,Latin,kak,Russian,cómo,Spanish,hoe,Dutch,hur,Swedish,kathám,Sanskrit
not,English,ne...pas,French,nicht,German,non,Italian,non,Latin,ne,Russian,no,Spanish,niet,Dutch,inte,Swedish,ná,Sanskrit
all,English,tout,French,alle,German,tutti,Italian,omnes,Latin,vse,Russian,todos,Spanish,al,Dutch,alla,Swedish,sárva,Sanskrit
many,English,plusieurs,French,viele,German,molti,Italian,multis,Latin,mnogo,Russian,muchos,Spanish,veel,Dutch,många,Swedish,bahú,Sanskrit
some,English,quelques,French,einige,German,un po 'di,Italian,aliqua,Latin,nekotorye,Russian,algunos,Spanish,enkele,Dutch,några,Swedish,kiñcid,Sanskrit
few,English,peu,French,wenige,German,pochi,Italian,pauci,Latin,malo,Russian,pocos,Spanish,weinig,Dutch,få,Swedish,álpa,Sanskrit
other,English,autre,French,andere,German,altro,Italian,aliis,Latin,drugoj,Russian,otro,Spanish,ander,Dutch,annan,Swedish,anyá,Sanskrit
one,English,un,French,eins,German,uno,Italian,unum,Latin,odin,Russian,uno,Spanish,een,Dutch,ett,Swedish,éka,Sanskrit
two,English,deux,French,zwei,German,due,Italian,duo,Latin,dva,Russian,dos,Spanish,twee,Dutch,två,Swedish,dví,Sanskrit
three,English,trois,French,drei,German,tre,Italian,tres,Latin,tri,Russian,tres,Spanish,drie,Dutch,tre,Swedish,trí,Sanskrit
four,English,quatre,French,vier,German,quattro,Italian,quattuor,Latin,chetyre,Russian,cuatro,Spanish,vier,Dutch,fyra,Swedish,cátur,Sanskrit
five,English,cinq,French,fünf,German,cinque,Italian,quinque,Latin,pjat',Russian,cinco,Spanish,vijf,Dutch,fem,Swedish,páñcan,Sanskrit
